hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,1172,1409,1416,1359,1331,1354,1394,1421,1385,1229,1278,1411,1427,1305,1330,1348,1335,1379,1383,1268,1341,1393,1415,1404,1333,1331,1302,1462,1382,1321,1406,1505,1406,1510,1478,1421,1392,1486,1385,1332,1337,1303,1456,1428,1360,1431,1390,1478,1384,1412,1370,1426,854
1,788,1032,1142,1050,1098,1154,1147,1126,1166,938,967,1159,1059,1095,1057,1113,1050,1140,1038,956,1084,1044,1163,1108,1138,1064,1177,1177,1129,1083,1124,1236,1170,1119,1276,1132,1108,1174,1071,1182,1025,946,1015,1003,1044,994,1031,1026,1054,1041,1037,1017,587
2,664,906,896,858,864,904,911,888,935,667,809,930,969,908,916,890,885,907,908,884,970,936,967,972,914,889,900,896,916,913,971,938,959,1020,1015,973,902,931,901,962,915,928,948,865,929,905,907,898,931,968,881,929,586
3,636,830,808,825,869,805,919,889,859,711,733,824,891,841,810,815,827,836,860,773,837,847,890,947,917,823,860,875,883,887,875,891,875,975,916,871,897,860,859,872,893,847,805,787,826,846,855,906,836,912,861,841,521
4,527,875,830,860,870,967,980,944,881,807,721,859,913,929,821,823,839,881,832,764,807,814,843,793,916,770,832,818,866,824,831,773,814,893,874,903,813,868,878,872,829,832,811,816,907,855,876,882,896,874,870,858,510
5,671,1173,1191,1185,1134,1165,1222,1177,1209,982,959,1115,1085,970,988,1049,1063,1097,1122,1028,1002,1162,1095,1065,1117,1118,995,1113,1155,1133,1055,1132,1123,1096,1146,1128,1132,1102,1110,1131,1075,1092,1109,1091,1179,1178,1134,1153,1226,1203,1233,1171,652
6,887,1564,1585,1696,1682,1745,1910,1742,1816,1569,1414,1453,1580,1377,1455,1536,1530,1566,1525,1596,1540,1616,1594,1589,1663,1537,1535,1562,1563,1529,1549,1516,1612,1594,1617,1682,1642,1649,1555,1602,1536,1482,1512,1580,1760,1705,1682,1726,1739,1785,1761,1650,915
7,1318,2293,2298,2387,2438,2476,2655,2509,2718,2269,1939,2219,2275,2093,2161,2147,2310,2174,2265,2143,2215,2253,2339,2419,2467,2377,2347,2311,2415,2253,2226,2126,2378,2299,2293,2360,2342,2476,2534,2438,2361,2264,2274,2321,2695,2628,2481,2502,2572,2545,2480,2341,1256
8,1876,3173,3181,3429,3305,3457,3715,3534,3548,2914,2690,3232,3212,3190,3117,3173,3177,3225,3335,3129,3098,3232,3328,3273,3379,3307,3221,3255,3281,3204,3228,3158,3308,3242,3350,3410,3381,3447,3354,3332,3295,3253,3346,3383,3533,3737,3355,3457,3447,3523,3469,3235,1829
9,2397,3907,4096,4121,4189,4404,4424,4236,4339,3694,3398,3876,4093,4050,3950,3992,4072,3943,4109,3869,3843,3993,4125,4158,4281,4045,4150,4033,4056,3784,3871,3934,3949,4054,4060,4194,4165,4217,4130,4267,4082,4170,4054,4367,4477,4498,4275,4338,4248,4399,4401,3923,2272
