hour,0,1,2,3,4,5,6
0,9699,10257,10786,10607,11221,9952,10046
1,7554,7900,8054,8371,8519,8224,8232
2,6302,6855,7049,6931,7136,6940,6721
3,6234,6199,6598,6432,6428,6524,6339
4,6115,6378,6698,6566,6731,6252,5801
5,8389,8872,8934,9118,9136,7082,6660
6,12090,13158,13562,13457,13201,9570,8769
7,17943,18807,19579,19075,19140,14564,13567
8,24765,25927,26944,26411,26257,21729,20229
9,30834,31582,33363,32720,33329,26765,25379
10,34646,35288,36725,36135,36931,29375,28365
11,36348,36389,37966,37461,37557,29588,28878
12,37046,37692,39115,38641,39745,30090,29245
13,34368,34540,35570,35389,35321,26431,26236
14,33798,34369,35063,35529,35008,25635,25704
15,32473,33699,33874,34327,33996,24194,24759
16,31659,33017,33612,34151,32219,23196,23579
17,29197,29538,30394,30432,29260,21634,21764
18,28050,28454,28751,29341,27313,21109,21662
19,26444,27220,27339,27553,25141,20155,21338
20,24236,24913,25533,25195,23287,19360,21033
21,21051,21238,21984,21414,19646,17564,18181
22,17099,17342,17654,17532,16419,15062,15575
23,13652,13696,14037,14043,13205,12668,12491
