page,fbid
"""I believe in angels""",273000682715952
"""ill just sleep 5 more minutes.....""30 minutes later ""OH CRAP!""",254014516224
$NOT,562208924300701
$kullkid,412180882310013
'Namgis First Nation,218066021594076
(Mostafa Malekian)مصطفی ملکیان,117553514924000
- Wake Island -,274590069311970
00:00 Ahmed Zeen - أحمد زين,107761400731959
03 Greedo,879948338842866
0Stella Music,708570049342077
1 Love Awakening,538808449554176
"1,000,000 Laughs",1796791980642656
1-800-GOT-JUNK?,76571934165
10 Ave Productions,254783381254442
10 at 10,290614700982487
10 trucs,100205866746177
10/10,731306936935086
100 Huntley Street,528069137291573
100 Limit Show,835969679881846
100 Mile Free Press,117252998354047
100 Mile House Fire-Rescue,166447900080119
100 New Things To Try,283338528957977
100 Women Who Care Fort St John,272420243238297
100 mile house,137271096906
100 mots,100044233893791
100 करोड़ हिन्दुओ एक हो जाओ.,130816317514838
100% Possible,500731390094633
100% Tidiane,1847715802222274
100+ Women Who Care Halifax,372750979478455
100.1 Moose FM,57017183401
100.1 True North FM,239294549439596
100.3 The Bear,116611766650
100.3 The Q!  The Island's Rock,107340749293162
100.9,138685242834876
100.9 Canoe FM Community Radio,136138996456330
1000 Islands RV Centre,115319798505644
1000 Islands Regatta,154836427915472
1000 Islands Restaurant & Pizzeria,118399968205424
1000 Life Hacks,641937519150747
1000slow.pl - błyskawiczna nauka angielskiego,103563539689529
1001 Idées Coiffures,222683507891241
1001 pots,453668817987751
1005 Fresh Radio,863955850330486
101 機票旅館促銷情報,152865641293
101.1 BIG FM,881072405358139
101.3 The River,207274135954095
101.5 TODAY RADIO,146260275402917
101.5 myFM,1512816778968113
101.7 CKDH FM,174240399310108
101.7 The One,256689092729
101.9 Boom,547901841951715
101.9 ROCK,130991363987
101.9 The GIANT,57241930028
1015 The Hawk,158486354162228
"102,7 Rouge",237940496245823
"102,9 Rouge",142775879141691
102.1 the Edge,51570824279
102.3 Now! Radio,364577003134
102.3 The Wave,145066935526206
102.3FM CINA Radio,100047047720026
102.7 THE PEAK,79644412801
102.9 The Drive,189645437832891
1029klite,167298396615813
103.7 BOB FM,117255554969540
1031 Fresh Radio,146507038705131
"104,7 Outaouais",271598752944478
104.1 The DOCK,175619152473754
104.3 - The Breeze,379840552165443
104.7 Heart FM,131236193592379
104.9 myFM,129308680448414
1043 Fresh Radio,880316541988529
1045 Fresh Radio,1559293260991262
105.3 ROCK,51192708374
105.3 Rouge,138064182948159
105.3 The FOX,92467162736
105.7 myFM,147757895248855
105.9 Seaside-FM,141819939226721
105.9 ShineFM,185215451506953
106-1 The Goat,106107662751893
106.5 Mountain FM,131275136906288
106.7 ROCK,92524576307
106.7 Rewind Radio,14398632969
106.9 FM Mauricie,343611139056789
106.9 FM THE WOLF,6367869981
"107,3 Rouge",233198693378754
107.5 Dave Rocks,113007320622
107.7 Estrie,335968163160985
107.9 Moose FM,990383544391222
1077 2Day FM Stratford,229060673782438
11 Division - Toronto Police Service,271613536190899
1220 AM Radio Dhun,350032225124943
123Dentist,220770097952855
13 Ways,173765696303
13prevail Bushcraft,432061736868531
13th Street Winery,138605282847807
1460 CJOY,166142293420594
148 En Folie : Méga Vente De Garage,343747962410440
1492 Land Back Lane,101368851707899
1592 Wood Fired Kitchen & Cocktails,112397063541944
1642,688299161256826
1755,332811416802174
1861,140196132672393
1865 Black Flag,100559551759037
1867 Confederation Log & Timber Frame,237907761348
19 Okanagan Grill + Bar,107563825982435
1985 Games,316218665772018
1991,198596925067
1Funny,157726307600923
1puglife Entertainment,100044788789081
1res fois,155526971701807
2 Chainz,181861021831773
2 Girls and a Game - Curling Podcast,714337838716628
2 Massage Therapists and a Microphone Podcast,568772173519661
2 Rivers Remix Society,243401179538704
2 Shadows,100047538846634
2019 Canada Winter Games - Red Deer,423968164402793
2020 Armor,1667097593504922
2020 Ice Hockey Classic,740347996078799
2020spaces,101688083207358
204 ਵਿੰਨੀਪੈਗ ਵਾਲੇ,205848210296999
20th Century Studios Canada,303315496357315
21 Savage,1646942642209942
211 Grand Montréal,284194258312826
211 Nova Scotia,504609296263634
22 Division Toronto Police Service,165043926905974
22 HERTZ,174498469502
22 Racing,804088272954670
22Fresh,30768768136
22Gz,1626357447527800
23 Republic,655571174836611
2305 Rocky Mountain Rangers Royal Canadian Army Cadet Corps - Kamloops,584246811592236
24 heures,509839125694576
24 heures-TABLOÏD,355706981519859
24-7 Intouch,79442274758
24-7 Intouch Guatemala,121012724618143
24H Congo,110759060692839
24h Tremblant,166333036718086
24kGoldn,982432451929827
25th Street Theatre,14966000991
27Co Jewellery & Repairs,212226449177183
28. Jun,102537783146375
29Secrets.com,108776212499720
2Day,440884703360480
2Frères,100044611711375
2Ravenz,500370793506861
2kbaby,117480599640827
3 Amigos,10520381703
3 Brasseurs Canada,337461602970211
3 Brasseurs Canada,202901828624
3 Brasseurs Canada,873773212639293
3 Inches of Blood,6385103062
3 Principles for Human Development,1425444197669017
3 Things Consulting,307950805980784
3-2-1 BATTLE,336159089800533
30 Minute Hit,90588007631
300 Entertainment,604236202974094
33 Division - Toronto Police Service,225682414150146
338Canada,340354966768994
3409,2050870978280805
350 Canada,116486331729420
35Set Déco,424796194651478
360Nitro.tv,52137258131
365promises,126132350751188
36?,484816021529369
3M,162056987140787
3MillionCats,177519315688938
3MillionDogs,229844063767299
3atfea - عاطفية,1243727472321173
3rd Degree Training,134568153282947
4 Paws Pure,183221220447
4 Pillars Consulting Group,286907593146
4 Wing Connection,400059686784552
4-H Alberta,141665055889716
4-H Canada,75583490004
40 Knots Winery,284022404999527
400 Chrysler Dodge Jeep Ram,781856728606166
4000 Hikes,176540959471053
403DNB,133392953392557
403media,190116967675063
407 ETR,392430174236952
"41 Division, Toronto Police Service",224217930959981
42 Division - Toronto Police Service,199327710131723
420 Vancouver,678556955635244
425F,129619970847923
43 Division - Toronto Police Service,194456410586870
440 Ford Lincoln Laval,153172254728751
45 năm tháng tư Đen,102173668015642
460 Realty,600722556648251
49 Design,1512891412370068
4:20 Smoke Weed,154350694739854
4Cats Arts Studio,87222269773
4T - Postnatal,583491525363146
4iiiicom,126090840776255
4th Canadian Division - 4e Division du Canada,767088219985590
4x4setup Magazine,255515541275885
5 Minutes about IELTS,124720091445703
5 Seconds of Summer,100044424246408
"5 ingrédients, 15 minutes",133556790064898
50's & 60's Rock N Roll Music Festival,198455177295496
500px,57284451149
514-Billets à rabais,103537096377897
5150 Productions,417330488371637
519 Stolen Vehicle Network - Track your ride,857349694336027
"53 Karat,  Votre Centre de Métamorphose",100289653364929
54 North Powersports Ltd.,100308034711095
54-40,100044325323290
54Lights,1248710598618432
55 Division - Toronto Police Service,227119274007388
57 North Kitchen + Brewery,105871307526724
570 NEWS,435763873153120
