page,fbid
"""I believe in angels""",273000682715952
- Wake Island -,274590069311970
00:00 Ahmed Zeen - أحمد زين,107761400731959
03 Greedo,879948338842866
1 Love Awakening,538808449554176
"1,000,000 Laughs",1796791980642656
1-800-GOT-JUNK?,76571934165
10/10,731306936935086
100 Huntley Street,528069137291573
100 Mile Free Press,117252998354047
100 mots,100044233893791
100 करोड़ हिन्दुओ एक हो जाओ.,130816317514838
100% Possible,500731390094633
100% Tidiane,1847715802222274
100.1 Moose FM,57017183401
100.1 True North FM,239294549439596
100.3 The Bear,116611766650
100.3 The Q!  The Island's Rock,107340749293162
100.9,138685242834876
100.9 Canoe FM Community Radio,136138996456330
1000 Islands Restaurant & Pizzeria,118399968205424
1000 Life Hacks,641937519150747
1005 Fresh Radio,863955850330486
101 機票旅館促銷情報,152865641293
101.1 BIG FM,881072405358139
101.3 The River,207274135954095
101.5 TODAY RADIO,146260275402917
101.5 myFM,1512816778968113
101.7 CKDH FM,174240399310108
101.7 The One,256689092729
101.9 ROCK,130991363987
101.9 The GIANT,57241930028
1015 The Hawk,158486354162228
"102,7 Rouge",237940496245823
"102,9 Rouge",142775879141691
102.1 the Edge,51570824279
102.3 Now! Radio,364577003134
102.3 The Wave,145066935526206
102.3FM CINA Radio,100047047720026
102.7 THE PEAK,79644412801
102.9 The Drive,189645437832891
1029klite,167298396615813
103.7 BOB FM,117255554969540
1031 Fresh Radio,146507038705131
"104,7 Outaouais",271598752944478
104.1 The DOCK,175619152473754
104.3 - The Breeze,379840552165443
104.7 Heart FM,131236193592379
104.9 myFM,129308680448414
1043 Fresh Radio,880316541988529
1045 Fresh Radio,1559293260991262
105.3 ROCK,51192708374
105.3 Rouge,138064182948159
105.3 The FOX,92467162736
105.7 myFM,147757895248855
105.9 Seaside-FM,141819939226721
105.9 ShineFM,185215451506953
106-1 The Goat,106107662751893
106.5 Mountain FM,131275136906288
106.7 ROCK,92524576307
106.7 Rewind Radio,14398632969
106.9 FM Mauricie,343611139056789
106.9 FM THE WOLF,6367869981
"107,3 Rouge",233198693378754
107.5 Dave Rocks,113007320622
107.7 Estrie,335968163160985
107.9 Moose FM,990383544391222
1077 2Day FM Stratford,229060673782438
11 Division - Toronto Police Service,271613536190899
13prevail Bushcraft,432061736868531
13th Street Winery,138605282847807
1492 Land Back Lane,101368851707899
1642,688299161256826
1861,140196132672393
1Funny,157726307600923
1puglife Entertainment,100044788789081
1res fois,155526971701807
2 Chainz,181861021831773
2 Rivers Remix Society,243401179538704
2 Shadows,100047538846634
2020 Armor,1667097593504922
