page,followers,reaction,nb_post,Color
CTV News,977308.1295767466,642.0081081081081,19610,Supérieur à 30 posts
La Parole Vivante,1590159.6356136499,1164.1302298173248,18667,Supérieur à 30 posts
War History Online,2019730.8107542356,571.0055602799764,15287,Supérieur à 30 posts
theScore,4282398.870680946,2141.8730383242405,14847,Supérieur à 30 posts
Global News,2201832.4215974263,636.4376835921108,14298,Supérieur à 30 posts
The Vintage News,3112177.7200618647,449.8318603623509,13578,Supérieur à 30 posts
CBC News,2646397.266384778,955.6164300815464,13244,Supérieur à 30 posts
Le Journal de Montréal,696734.9380553227,453.65046102263204,11930,Supérieur à 30 posts
TVA Nouvelles,1173184.0857872341,1189.1228085106384,11750,Supérieur à 30 posts
Screen Rant,1759996.4098065677,2318.6331084120557,11115,Supérieur à 30 posts
Global BC,533267.3696366025,394.35164113785555,9140,Supérieur à 30 posts
Radio-Canada Information,1037903.2973863636,546.001590909091,8800,Supérieur à 30 posts
Comic Book Resources,1786342.1782018854,636.4990802483329,8698,Supérieur à 30 posts
Global Edmonton,346517.56623596186,371.3534597270861,8281,Supérieur à 30 posts
La Presse,654731.1394504297,394.65996852681275,8261,Supérieur à 30 posts
Lessons Learned In Life Inc.,17677791.105211645,9206.687056520675,8174,Supérieur à 30 posts
CityNews Toronto,564446.842971148,341.52486187845307,8145,Supérieur à 30 posts
صحيفة الراكوبة - اخبار السودان لحظة بلحظة,1229076.3441929868,640.047121720751,8043,Supérieur à 30 posts
blogTO,829852.3567317317,1179.6265015015015,7992,Supérieur à 30 posts
Narcity Canada,1345501.5662976312,528.9521112255406,7768,Supérieur à 30 posts
CP24 Toronto's Breaking News,216102.26151444184,365.43871975019516,7686,Supérieur à 30 posts
همسات سورية,917288.5968545217,1292.1659239842727,7630,Supérieur à 30 posts
NFL Memes,2106900.6290557543,3605.897497020262,7551,Supérieur à 30 posts
Womenworking.com,18564563.66482777,14785.83842324768,7433,Supérieur à 30 posts
Sportsnet,1084539.2178137652,1119.753036437247,7410,Supérieur à 30 posts
Le Journal de Québec,420476.46798162657,312.363550391786,7402,Supérieur à 30 posts
Prime Asia TV,661107.9409294513,2620.0327547592387,7144,Supérieur à 30 posts
Black Adam Schefter,752415.875544318,883.9754178957719,7119,Supérieur à 30 posts
Quotes Made with Love,1031976.7653655075,1203.9061745919091,7045,Supérieur à 30 posts
National Post,432604.98144299287,246.67779756604332,6738,Supérieur à 30 posts
CTV Edmonton,190607.38086642599,408.5215102286402,6648,Supérieur à 30 posts
OMG,1996538.910636982,621.1012677798392,6468,Supérieur à 30 posts
Daily Hive Vancouver,468303.9435055529,438.17656526637694,6213,Supérieur à 30 posts
Silly Hippy,1210964.486560881,746.7227979274611,6176,Supérieur à 30 posts
The Post Millennial,78299.30519907865,629.7313260941099,6078,Supérieur à 30 posts
Aunty Acid,11386691.857844798,3173.606065740427,5902,Supérieur à 30 posts
Healings & Intuitive Readings with Tracey Smith,257652.6167235495,404.98003412969285,5860,Supérieur à 30 posts
Game Rant,477303.2041492329,523.303120097612,5737,Supérieur à 30 posts
"Nicky, Mia & Bruno",97801.28528634361,399.8190308370044,5675,Supérieur à 30 posts
Rachel Notley,105122.18397311162,580.9483460109676,5653,Supérieur à 30 posts
Troublemaker Mom,742655.3815789474,369.47530641672677,5548,Supérieur à 30 posts
CTV News Winnipeg,92528.33670886076,234.64412296564194,5530,Supérieur à 30 posts
CBC Vancouver,381723.90795660036,422.8245931283906,5530,Supérieur à 30 posts
Le Devoir,361942.8756647717,374.4744177516963,5453,Supérieur à 30 posts
السياسة بالفلاّقي,381022.26472809666,372.6431268882175,5296,Supérieur à 30 posts
Inspire Your Beautiful Soul,494112.4790076336,457.4141221374046,5240,Supérieur à 30 posts
TSN,768121.769763416,504.29274860550106,5199,Supérieur à 30 posts
CTV News Ottawa,103119.29335899904,262.7158806544755,5195,Supérieur à 30 posts
HotNewHipHop.com,954462.160910518,1624.988814756672,5096,Supérieur à 30 posts
Hahahaha_,251894.5146257817,467.25559814403874,4957,Supérieur à 30 posts
Fake SportsCenter,1209420.8639400688,1302.6952824458392,4939,Supérieur à 30 posts
Global Calgary,155714.29384176183,288.056484502447,4904,Supérieur à 30 posts
Toronto Sun,119447.61623616236,287.30586305863056,4878,Supérieur à 30 posts
"Grace, Love & Beauty",161158.88550873587,394.62096608427544,4865,Supérieur à 30 posts
