,interaction,interactionColor,nombrePage,nombrePageColor,nombreReaction,nombreReactionColor,followers,followersColor
0,TikTok Epic Pranks,#92bff6,Jennifer Lopez (2462),#0a4184,Jennifer Lopez (4),#0a4184,Jennifer Lopez (9),#0a4184
1,Video Funny Viral TV,#70acf4,Camilo (2956),#073163,Camilo (12),#073163,Billie Eilish (40),#052042
2,FEN,#4f99f1,Billie Eilish (4564),#052042,Billie Eilish (39),#052042,Harry Styles (63),#1173e8
3,Taco Relish,#2e86ef,Harry Styles (6305),#1173e8,Harry Styles (63),#1173e8,Camilo (81),#073163
4,Harry Styles,#1173e8,RJ Abhinav (7424),#0c52a5,RJ Abhinav (91),#0c52a5,RJ Abhinav (218),#0c52a5
5,Parwinder Pukhraj,#0f62c6,Parwinder Pukhraj (10243),#0f62c6,Parwinder Pukhraj (173),#0f62c6,Taco Relish (3987),#2e86ef
6,RJ Abhinav,#0c52a5,FEN (27241),#4f99f1,TikTok Epic Pranks (268),#92bff6,TikTok Epic Pranks (4341),#92bff6
7,Jennifer Lopez,#0a4184,TikTok Epic Pranks (30601),#92bff6,Video Funny Viral TV (446),#70acf4,Parwinder Pukhraj (8510),#0f62c6
8,Camilo,#073163,Video Funny Viral TV (31130),#70acf4,FEN (1075),#4f99f1,FEN (34070),#4f99f1
9,Billie Eilish,#052042,Taco Relish (34695),#2e86ef,Taco Relish (1846),#2e86ef,Video Funny Viral TV (36582),#70acf4
