,followers,followersColor,nombrePage,nombrePageColor,nombreReaction,nombreReactionColor,interaction,interactionColor
0,Samsung,#92bff6,Jennifer Lopez (2462),#073163,Jennifer Lopez (4),#073163,Jennifer Lopez (8),#073163
1,Eminem,#70acf4,Pitbull (3718),#0f62c6,Eminem (145),#70acf4,Eminem (17),#70acf4
2,Linkin Park,#4f99f1,Usher (5004),#0a4184,Chris Brown (180),#052042,Chris Brown (22),#052042
3,Bruno Mars,#2e86ef,Linkin Park (5005),#4f99f1,David Guetta (249),#0c52a5,Bruno Mars (25),#2e86ef
4,KFC,#1173e8,David Guetta (6029),#0c52a5,Linkin Park (254),#4f99f1,David Guetta (52),#0c52a5
5,Pitbull,#0f62c6,Eminem (7158),#70acf4,Usher (326),#0a4184,Linkin Park (72),#4f99f1
6,David Guetta,#0c52a5,Chris Brown (7563),#052042,Bruno Mars (468),#2e86ef,Usher (99),#0a4184
7,Usher,#0a4184,KFC (10722),#1173e8,Pitbull (784),#0f62c6,Pitbull (495),#0f62c6
8,Jennifer Lopez,#073163,Bruno Mars (11683),#2e86ef,Samsung (8179),#92bff6,Samsung (3648),#92bff6
9,Chris Brown,#052042,Samsung (12734),#92bff6,KFC (10165),#1173e8,KFC (10237),#1173e8
